Adjective,m_mu,m_sig,s_mu,s_sig,rho,l1,l2,V11,V12
tall,-0.64733423425,-0.2486021675125,0.67428633525,0.7088295530625,-0.570906697914375,0.752461575414154,0.2046398217855049,-0.675568955387976,-0.7372968103253934
powerful,-0.4649246576875,-0.84774466,0.261356613375,0.7213011370625,0.1471239764998625,0.5219709682113471,0.06661164147115745,0.0610224214927304,-0.9981363955267655
young,0.1330782410072025,-0.021309352442955,0.5450687740625,0.4357694659,-0.1848897608687875,0.31279269089970174,0.17420230496906614,-0.9416841508854225,-0.336498083161258
hot,-1.093807850375,-0.04532994773062188,0.4938618670625,0.535544710375,-0.21477381802295625,0.32607480409860906,0.20463287645049197,-0.5686272852457199,-0.8225952896012002
expensive,-0.3123879371304375,0.006264080606625625,0.656784740375,0.5977676566875,-0.2067122758349625,0.4835471420236585,0.3051452245474625,-0.8411355700138864,-0.5408243271686418
large,-0.13954497099978314,-0.1744668970061,0.7220611445,0.58592014575,0.149896546022775,0.5416484064845578,0.32302630710779334,-0.9524993354730426,0.30454066382572326
late,-0.3214783493375,-1.94574919375,0.30410992025,0.654588266718125,0.14928626074038126,0.4310939699355282,0.0898746725839723,0.08742814010737598,-0.9961708288829607
spicy,-0.09420259689418126,-0.983687299625,0.3196361824375,0.4015384639375,0.7381242855,0.2309322729795063,0.03246815416499947,0.5926150736533846,-0.8054858002961898
profitable,-0.4239944174375,-1.0207752465,0.1484931169875,0.6313909628125,-0.10652762314560625,0.3989192414890856,0.021785512224873457,-0.026492564849775108,-0.999649010406993
safe,0.357978160375,-0.529756552975625,0.2417022311875,0.58181761354375,-0.215563860722625,0.34175503176967403,0.05517667222108606,-0.10638284973398593,-0.9943252432089191
complete,-0.25047224558881875,-0.725710830475,0.47979674975,1.0329771063125,-0.961827809,1.282907966474276,0.014338656762134167,-0.41251076617829907,-0.9109527253304602
full,0.561432624875,-3.208461695,0.0982193380875,0.597389231919375,-0.5250071396308875,0.3595856301552206,0.006935302632346812,-0.08769029617546042,-0.9961477862027602
